timestamp,disk index,disk_0 x (m),disk_0 y (m),disk_0 z (m),disk_0 rotX (rad),disk_0 rotY (rad),disk_0 rotZ (rad),disk index,disk_1 x (m),disk_1 y (m),disk_1 z (m),disk_1 rotX (rad),disk_1 rotY (rad),disk_1 rotZ (rad),disk index,disk_2 x (m),disk_2 y (m),disk_2 z (m),disk_2 rotX (rad),disk_2 rotY (rad),disk_2 rotZ (rad),disk index,disk_3 x (m),disk_3 y (m),disk_3 z (m),disk_3 rotX (rad),disk_3 rotY (rad),disk_3 rotZ (rad),disk index,disk_4 x (m),disk_4 y (m),disk_4 z (m),disk_4 rotX (rad),disk_4 rotY (rad),disk_4 rotZ (rad),disk index,disk_5 x (m),disk_5 y (m),disk_5 z (m),disk_5 rotX (rad),disk_5 rotY (rad),disk_5 rotZ (rad),disk index,disk_6 x (m),disk_6 y (m),disk_6 z (m),disk_6 rotX (rad),disk_6 rotY (rad),disk_6 rotZ (rad)
1764805105.8118196,0.0,-0.6313245349737643,0.47374018008871394,0.09400280129069256,-0.014485300521506815,-0.006716065895327497,0.002626689687487342,1.0,-0.5878626956340713,0.4763319000500059,0.26509707626623386,-0.030019979322590755,0.45946145085496937,-0.048145261546800364,2.0,-0.4943349917681897,0.4766224252531946,0.420056418790765,-0.03272831504514718,0.5847520300435807,-0.005640328109775711,3.0,-0.14161842969762578,0.4783341758719138,0.502920604740295,-1.793223671518023,-1.5258230189168673,-1.7850530390697827,4.0,-0.3176236509944648,0.4766509518219475,0.5349995407589945,-0.014011463297215207,-1.188539644884345,-0.030744668259574767,5.0,-0.4763470310663205,0.47454912002872823,0.6176453088501833,-0.0009307107779544526,-1.036216724446689,-0.040660995686514656,6.0,-0.6284266220172343,0.46992431221555186,0.7092899532020465,0.06660321896635811,-1.0359187157221823,0.05357991181248101
1764805105.8217878,0.0,-0.6313033349426487,0.47373980987683983,0.09400490758268558,-0.014578339296846552,-0.006613896915293795,0.002765074859405059,1.0,-0.5878604684848786,0.4762870093099716,0.2651012120880501,-0.030469399850339977,0.4590908454913983,-0.04779580955567417,2.0,-0.4943481247695672,0.4766134142020109,0.4200498608060407,-0.03280538602693531,0.5849611020835916,-0.005346955923731454,3.0,-0.1416249378408243,0.4783084557795242,0.5029008135098945,-1.7914532504781802,-1.5260011436025227,-1.7831849415527847,4.0,-0.3176217343869714,0.4766309254060901,0.534975840137469,-0.014739615744068237,-1.1882819829258064,-0.031421790511766794,5.0,-0.47636510492461204,0.4745268444147684,0.6176329121888308,-0.0008890066662734048,-1.0360875384510584,-0.040722813973482305,6.0,-0.6284493034252187,0.4698921853264227,0.7092869310673039,0.06636572317283397,-1.0353747732479623,0.05328127492048974
1764805105.831656,0.0,-0.6313273854575387,0.47367298093145765,0.09401065024750484,-0.01414490746865497,-0.006151225413969365,0.003053248947662528,1.0,-0.5878392583001859,0.4762393237282877,0.26510709059157295,-0.0311541478831087,0.4592023497064778,-0.04732942463144688,2.0,-0.49436931480068985,0.476551503261423,0.42008993487951674,-0.03278683203225934,0.5852895402768151,-0.0049138901243462865,3.0,-0.14163390661444705,0.47822650933857774,0.5029255798342686,-1.7961762196848927,-1.5263382112306771,-1.787959262783921,4.0,-0.317627014404139,0.4765946454098784,0.534966262454879,-0.015070618085086198,-1.1877767095948257,-0.0317013669062816,5.0,-0.4763661707177483,0.4744801792094963,0.6176649268817658,-0.000489899339950571,-1.036070311387379,-0.04049837655478961,6.0,-0.6284536266484002,0.4698423818070264,0.7092697838130813,0.06557563011006907,-1.035729045118674,0.052710805234527036
1764805105.8417697,0.0,-0.6313449635543864,0.4736374697754973,0.09401507369007213,-0.015328629181878035,-0.005856133080477039,0.002747871702170569,1.0,-0.587848656669515,0.476174419922797,0.26512974998339567,-0.03130255076999899,0.4594694212813814,-0.04782390885561276,2.0,-0.49437551388031975,0.4764861989418743,0.420089206659647,-0.03258452640088167,0.5847280409874542,-0.0050400838921263276,3.0,-0.1416488244389027,0.47819035580076713,0.5029295747906933,-1.7998277871250008,-1.5263881999153461,-1.791770394720838,4.0,-0.31764583547990877,0.47653504019966353,0.5350071250770828,-0.014934539232610622,-1.1876921063681876,-0.031605589756643356,5.0,-0.47639401463224335,0.47441961676676153,0.6176992675299966,-0.0009701777285766252,-1.0359746322091934,-0.040716401888325905,6.0,-0.628516748509914,0.46981951815702816,0.7093047166936404,0.06686739851004998,-1.0346216610473915,0.0537559340638403
1764805105.8519354,0.0,-0.63136082014707,0.47363343699558086,0.09402277746711218,-0.01513375141508748,-0.005891678387099666,0.0025920820138314636,1.0,-0.5878025739848949,0.4762234442935893,0.2651470825702352,-0.03297988477256738,0.4593855423452033,-0.04691598016343626,2.0,-0.49434118237428043,0.47648686502623994,0.4200985277298245,-0.032474682525092155,0.5845696491632624,-0.005417028266099867,3.0,-0.1416685222748484,0.4781891377306181,0.5029469954625013,-1.7932689484250075,-1.5261261932249588,-1.7853470807671845,4.0,-0.3176519417962412,0.4765502282667046,0.5350260030498892,-0.014780446287693257,-1.1877410348860709,-0.031300282847281834,5.0,-0.47639349511592916,0.47444580621439425,0.6177084265402218,-0.001409838125641619,-1.036228292142955,-0.040987632829572754,6.0,-0.6285055293262563,0.46981552179989183,0.7093154640678474,0.0658357950336782,-1.0352283120240093,0.05292556493998711
1764805105.8617635,0.0,-0.6313521762246507,0.4736858147228717,0.09401394694315199,-0.01520572502411935,-0.006065230998310793,0.0023771917254427036,1.0,-0.5877984794721323,0.47624945511085176,0.26511709322913984,-0.0320744301561459,0.45936112254917333,-0.04710642117279061,2.0,-0.49429021171303833,0.47653144272835485,0.42005910676331515,-0.032792975160148626,0.5844550875028429,-0.0056098575238622845,3.0,-0.14165079300205607,0.4782454175128971,0.5029333735625838,-1.7927313225906207,-1.5260750677546064,-1.784588599406632,4.0,-0.31762877366321246,0.4765893472513336,0.5350170684160591,-0.014507173990277468,-1.1880117863409811,-0.03126941815243551,5.0,-0.476377117765116,0.47450611528569564,0.6176798527678594,-0.0006408605497012819,-1.0362735824842593,-0.04032165793749233,6.0,-0.6284904070308237,0.46987406881414884,0.7093032164695681,0.06642604887710245,-1.034743173791841,0.053610191769529636
1764805105.871851,0.0,-0.6312998716606024,0.4737608705322915,0.09401706094182044,-0.014425046019056748,-0.006752801122968201,0.002588812364326647,1.0,-0.5877563736448312,0.47631912763197604,0.26509690165263017,-0.03187822618137151,0.4592532486151033,-0.04679353846589404,2.0,-0.4942688660435882,0.4766225343080181,0.4200424544403575,-0.03244067320645587,0.5845517381716265,-0.0053652041036779735,3.0,-0.14160917218582422,0.47834128322180436,0.5029007244339172,-1.7877744853093327,-1.5258324952937867,-1.7794558019428004,4.0,-0.31760399671976886,0.4766431674706201,0.535007235111305,-0.014773739785658055,-1.1881017925020412,-0.03156136760485486,5.0,-0.47635733214528736,0.4745546094230706,0.617662948980453,-0.0011252111109829087,-1.036142198296103,-0.04089882018491013,6.0,-0.6284202128192942,0.46995060066527256,0.709289473800511,0.0662318680337133,-1.0355972366988677,0.05353188001252985
1764805105.8818521,0.0,-0.6313147410016962,0.4737673350109104,0.09400534183826274,-0.013470853224478555,-0.006391691181004614,0.00306623249561732,1.0,-0.5877232648001262,0.47636788627545984,0.2650833266577545,-0.030959896829210323,0.4591479207443926,-0.04712174981912506,2.0,-0.49429696568003706,0.4766332469209662,0.4200402552868154,-0.03264074682421405,0.5844055047733236,-0.004941999886262977,3.0,-0.14161114945228356,0.47834240556424107,0.5028933210203081,-1.7886606015389497,-1.525842661758404,-1.780265173147524,4.0,-0.3175965324892878,0.47665831823398147,0.5349936121171655,-0.014918584629808997,-1.1880822051795106,-0.03181511607047734,5.0,-0.4763340855097514,0.47457725591484284,0.6176534520801298,-0.0009490767300127665,-1.0361280393949022,-0.04069995856007039,6.0,-0.6284106202806612,0.4699528060987104,0.7092737499796586,0.06558403855153348,-1.036297246267598,0.05306189564386744
1764805105.8920457,0.0,-0.6313400254787738,0.4737561823590689,0.09401867498118902,-0.014798268471560978,-0.006008735956788255,0.0030319931442077596,1.0,-0.5877748531225082,0.476337879587754,0.26511979964789617,-0.03256456610412098,0.45890205241264376,-0.04683575736709865,2.0,-0.49433252056080557,0.47657281971495363,0.4200895779418129,-0.03269731679315052,0.5844918083321167,-0.004738982149641389,3.0,-0.1416590719448573,0.4782789316369554,0.5029367453025329,-1.791299575930744,-1.5259204730312834,-1.7831225859852633,4.0,-0.3176312846521949,0.47661453357403616,0.5350008285261958,-0.014527954347382544,-1.1879729227301439,-0.031293041263186154,5.0,-0.47637096354508374,0.4745429485378868,0.6176848749364021,-0.00085712071067229,-1.0361683894883558,-0.04087128537886913,6.0,-0.628473553967535,0.46990919181870955,0.70931207421894,0.06556314800639863,-1.0354856142381228,0.05263864516811797
1764805105.9019809,0.0,-0.6313712548199689,0.4736549053628789,0.09405853501872705,-0.015011930685089834,-0.005573360981900279,0.00322594640687769,1.0,-0.5878429456806836,0.4762383588472694,0.2651757220854847,-0.03341416200109741,0.4590299951285355,-0.04717896565785169,2.0,-0.49438461829303715,0.4764821074249288,0.42012695125882715,-0.032633938843615685,0.5849107606988908,-0.005102744827072792,3.0,-0.14168829428680918,0.47817767171343084,0.5029722892209348,-1.7966754817554715,-1.5265165150421525,-1.788611070439904,4.0,-0.31773121202374893,0.47653014800227017,0.5350780894820557,-0.014163757990361332,-1.1893759422691494,-0.030671436162131388,5.0,-0.47642113273366804,0.47441809730025364,0.61771688359518,-0.001169500465774097,-1.036078970370633,-0.04147927973768321,6.0,-0.6285233211831948,0.4698331877224429,0.7093231690275206,0.06646662320098531,-1.03505266477233,0.05306896879580045
